date,group,prev_signal_date,repeated_top10_count,repeated_top10_names,prior_top30_1d_pct,top30_overlap,top_sector_pct,repeated_cohort_1d_pct,curr_top30_5d_pct,cohort_3d_prior_pct,spy_5d_prior_pct,spy_20d_vol_pct,top10_pre5d_mean_pct,top10_sector_pct,top10_top_sector,days_since_prior_earnings_peak,news_article_mentions,news_pos_pct,news_neg_pct,news_neutral_pct,cohort_pos_names,cohort_neg_names,cohort_strong_neg_names,bad_keyword_hits,bad_keyword_titles,cohort_news_labels
2025-10-30,recovered,2025-10-29,6,AMD;CIEN;LITE;SNDK;VRT;WDC,-1.9902796,0.9,0.6,-3.2667112,0.5611231327056885,4.228109529182156,1.2013219006788312,14.69068793128409,9.945152449999998,0.9,Manufacturing,76,27,0.6666666666666666,0.0,0.3333333333333333,3,0,0,7,"Up 111%, Should You Buy Intel Stock Right Now? | Should You Buy Advanced Micro Devices Stock Before Nov. 4? | Intel: Explosive Comeback Fueled by AI and $15 B Strategic Investments | AMD Powers U.S. Sovereign AI Factory Supercomputers, Accelerating an Open American AI Stack | 4 Growth Stocks to Invest $1,000 in Right Now",AMD:STRONG-POS;CIEN:NO-NEWS;LITE:POS;SNDK:NO-NEWS;VRT:POS;WDC:NO-NEWS
2025-11-04,recovered,2025-11-03,8,AMD;CIEN;COHR;LITE;MU;SNDK;STX;WDC,-3.3809564,0.7666666666666667,0.7,-4.7335973,1.697311520576477,-1.7291085868667413,-1.720373766483263,15.296150461657007,1.0529601439999998,1.0,Manufacturing,81,22,0.5909090909090909,0.045454545454545456,0.36363636363636365,4,0,0,4,"AMD Hit With Two Lawsuits From Adeia Alleging Massive Patent Violations Ahead Of Q3 Earnings | 1 Impressive Quantum Computing ETF I'm Strongly Considering Right Now | Up 111%, Should You Buy Intel Stock Right Now? | Should You Buy Advanced Micro Devices Stock Before Nov. 4?",AMD:POS;CIEN:NO-NEWS;COHR:NO-NEWS;LITE:NO-NEWS;MU:POS;SNDK:NO-NEWS;STX:POS;WDC:POS
2025-11-06,bad,2025-11-05,8,AMD;CIEN;LITE;MU;SNDK;STX;WBD;WDC,-1.2436587,0.8666666666666667,0.6,-0.43169037,-2.6355950832366943,3.596392128519854,-1.4003500875218955,15.673733446294962,5.75286203,0.8,Manufacturing,83,23,0.4782608695652174,0.13043478260869565,0.391304347826087,4,0,0,3,"China Reportedly Bans Foreign AI Chips In State-Funded Data Centers In A Blow To Nvidia, AMD | AMD Hit With Two Lawsuits From Adeia Alleging Massive Patent Violations Ahead Of Q3 Earnings | 1 Impressive Quantum Computing ETF I'm Strongly Considering Right Now",AMD:POS;CIEN:NO-NEWS;LITE:POS;MU:POS;SNDK:NO-NEWS;STX:NO-NEWS;WBD:NEUTRAL;WDC:POS
2025-11-11,bad,2025-11-10,8,AMD;CIEN;LITE;MU;ORCL;SMCI;SNDK;STX,-1.1430905,0.7333333333333333,0.6666666666666666,-2.1222167,-6.580249309539795,4.585122204156078,1.1492210177122208,11.996413535990634,10.248950189999999,0.9,Manufacturing,88,47,0.5319148936170213,0.1702127659574468,0.2978723404255319,6,0,0,5,"Recent IPO Earnings in Focus in the Final Peak Week of the Q3 Season | Energy Transfer's Growth Outlook Just Keeps Getting Better | Consumer Tech News (Nov 3-7): Trump Blocks Nvidia Blackwell AI Chip Exports, China Bans Foreign AI Chips In Data Centers | Cleared Out: CyberArk Software Stock Sacrificed for New Opportunities | China Reportedly Bans Foreign AI Chips In State-Funded Data Centers In A Blow To Nvidia, AMD",AMD:POS;CIEN:NO-NEWS;LITE:POS;MU:POS;ORCL:POS;SMCI:NEUTRAL;SNDK:POS;STX:POS
2025-11-18,recovered,2025-11-17,9,CIEN;COHR;DXCM;HOOD;LITE;MU;SNDK;STX;WDC,-1.2438248,0.8333333333333334,0.6333333333333333,-2.414044,2.900209426879883,-1.13316736150737,-3.3557833089311817,13.371095775359912,-8.28237111,0.8,Manufacturing,3,13,0.46153846153846156,0.3076923076923077,0.23076923076923078,4,1,1,4,"Tech Stocks Drop, Pharma Gains As Sector Rotation Picks Up: What's Moving Markets Tuesday? | DXCM INVESTOR ALERT: Bronstein, Gewirtz & Grossman LLC Announces that DexCom, Inc. Investors with Substantial Losses Hav | Shareholders that lost money on DexCom, Inc. (DXCM) Urged to Join Class Action – Contact Levi & Korsinsky to Learn More | ROSEN, A LEADING NATIONAL FIRM, Encourages DexCom, Inc. Investors to Secure Counsel Before Important Deadline in Securit",CIEN:NO-NEWS;COHR:NO-NEWS;DXCM:STRONG-NEG;HOOD:POS;LITE:NO-NEWS;MU:POS;SNDK:POS;STX:NO-NEWS;WDC:POS
2025-11-20,recovered,2025-11-19,9,AMD;CIEN;COHR;LITE;MU;SNDK;STX;TER;WDC,-5.860112,0.7666666666666667,0.7,-9.712052,9.094715118408203,-11.122355567388716,-2.9031010058925055,14.133752125191142,-9.03475705,1.0,Manufacturing,5,22,0.4090909090909091,0.09090909090909091,0.5,5,0,0,4,"Nvidia Earnings Preview: Can the AI Juggernaut Keep the Rally Alive? | Tech Stocks Drop, Pharma Gains As Sector Rotation Picks Up: What's Moving Markets Tuesday? | Leverage Shares by Themes expands its single stock Leveraged ETF lineup with NU, NET, OKTA, TER, NEM, CMG, ABNB, SPOT an | 1 Artificial Intelligence (AI) Semiconductor Stock to Buy Hand Over Fist Before December (Hint: It's Not Nvidia)",AMD:POS;CIEN:NO-NEWS;COHR:POS;LITE:NEUTRAL;MU:POS;SNDK:POS;STX:POS;TER:NEUTRAL;WDC:NO-NEWS
2025-12-12,recovered,2025-12-11,9,CIEN;COHR;COIN;LITE;MU;PSKY;SNDK;TER;WDC,-3.9821672,0.7666666666666667,0.6,-7.61048,3.9864931106567374,-3.8966790539984406,-0.5731452988960162,12.026137786052567,0.48826877999999996,0.8,Manufacturing,27,24,0.75,0.125,0.125,4,0,0,4,"Cryptocurrency Exchange Market Set for Strong Growth to USD 211.57 Billion by 2033, Owing to Rising Crypto Adoption and  | Beyond the Magnificent 7: Meet 3 of Tech’s Rising Stars | Move Over Lumentum Holdings, Alphabet Is a Better AI Play | Questex’s Fierce Network Announces Winners of the 2025 Fierce Network Innovation Awards",CIEN:POS;COHR:NO-NEWS;COIN:NEUTRAL;LITE:NEUTRAL;MU:STRONG-POS;PSKY:POS;SNDK:NO-NEWS;TER:NO-NEWS;WDC:POS
2026-01-07,recovered,2026-01-06,8,ALB;APP;COIN;LITE;MRNA;SNDK;TER;WDC,-1.1771325,0.9,0.6333333333333333,-1.0232836,3.899623155593872,9.84708140563971,0.37408480225906704,9.077732016399015,12.038247099999996,0.7,Manufacturing,53,19,0.7894736842105263,0.05263157894736842,0.15789473684210525,5,0,0,6,"S&P 500 Hits New Record Highs, Alphabet Dethrones Apple: What's Moving Markets Wednesday? | Winners and Losers of 2025: A Sector-by-Sector Stock Market Review | How Trump Moved Stocks In 2025: Crypto, Drones, Health Care Sectors | The 3 Stocks That Crushed the S&P 500 in 2025",ALB:STRONG-POS;APP:NO-NEWS;COIN:STRONG-POS;LITE:NO-NEWS;MRNA:POS;SNDK:STRONG-POS;TER:NO-NEWS;WDC:POS
2026-01-08,recovered,2026-01-07,6,ALB;CIEN;LITE;SNDK;TER;WDC,-2.77043,0.8333333333333334,0.6666666666666666,-6.7947097,2.466458559036255,3.9847387831690653,1.113033786954487,9.067152820971332,9.92338068,1.0,Manufacturing,54,14,0.7142857142857143,0.21428571428571427,0.07142857142857142,3,0,0,4,"SanDisk: Why It Just Had One of the Biggest Days in Its History | S&P 500 Hits New Record Highs, Alphabet Dethrones Apple: What's Moving Markets Wednesday? | Winners and Losers of 2025: A Sector-by-Sector Stock Market Review",ALB:STRONG-POS;CIEN:NEUTRAL;LITE:NO-NEWS;SNDK:POS;TER:NO-NEWS;WDC:POS
2026-01-14,recovered,2026-01-13,8,ALB;AXON;LITE;MRNA;MU;SATS;SNDK;WDC,-1.1755828,0.8,0.6,-0.35052672,2.6331377029418945,4.776694568105371,0.11311232924389181,8.316158593326538,5.2062010700000005,0.8,Manufacturing,60,19,0.7894736842105263,0.15789473684210525,0.05263157894736842,5,0,0,11,"Should You Buy Micron Before 2027? | UPDATE ON CASE LAKE AS FIELD PROGRAMS RESUME | Silver Jumps To $89 After Soft CPI, JPMorgan Falls 3%: What's Moving Markets Tuesday? | LVT Ranked No. 1 Innovative Leader in 2025 Frost Radar™ for Mobile Surveillance | If You'd Invested $100 in Micron Stock 10 Years Ago, Here's How Much You'd Have Today",ALB:POS;AXON:POS;LITE:POS;MRNA:POS;MU:POS;SATS:NO-NEWS;SNDK:NEUTRAL;WDC:NEUTRAL
