"rank","instrument","score","pct_rank","close","ret_5d","ret_20d","ann_vol_20d","sector","sic_description","news_count_5d","news_pos_count_5d","news_neg_count_5d","news_sentiment","most_recent_published_utc","pub_lag_days","pub_hour_utc","most_recent_title","most_recent_reasoning","most_recent_keywords","rule_avoid_high_precision","rule_buy_high_precision","rule_buy_legal_veto"
"1","INTC","0.3047389119013394","0.0009940357852882703","99.62000274658203","0.2069300413131714","0.9773719310760498","0.9936126470565796","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","22","14","2","POS","2026-05-01T17:11:59Z","-0.7166550925925926","17.0","Stock Market Today: Apple Earnings Power S&P 500, Nasdaq To Records; Trump Hits EU","Rose 5.2% as AI-infrastructure bid spread across semis","S&P 500;Nasdaq 100;Apple earnings;technology rally;software stocks","False","False","False"
"2","COHR","0.3047389119013394","0.002982107355864811","329.5","-0.019607841968536377","0.2763402462005615","0.6590766906738281","Manufacturing","OPTICAL INSTRUMENTS & LENSES","1","0","0","NEUTRAL","2026-04-29T18:34:01Z","1.2263773148148147","18.0","Waters Parkerson Bets $3 Million on a CBIZ Rebound","Listed as Waters Parkerson's second-largest holding (5.1% of AUM, $98.5M). No specific news or analysis provided regarding the company itself.","CBIZ acquisition;Marcum LLP integration;contrarian investment;professional services;post-merger headwinds","False","False","False"
"3","ON","0.29859075226767573","0.004970178926441352","103.02999877929688","0.047052860260009766","0.6566972732543945","0.5681190490722656","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","4","4","0","STRONG-POS","2026-04-29T12:26:00Z","1.4819444444444445","12.0","AI Is Reviving an Overlooked Chip Category—and These 3 Names Are Riding the Demand","Share price soared 73% YTD with strong free cash flow margin of 24% in 2025, $1.4 billion stock buyback completed and $6 billion new buyback program initiated, over $250 million in AI revenue with expected 20% sequential growth. However, valuation concerns exist with P/E ratio ar","analog chips;semiconductors;AI data centers;power delivery;signal management","False","False","False"
"4","CIEN","0.29257980110359916","0.006958250497017893","535.2899780273438","0.02782261371612549","0.19548416137695312","0.6785858273506165","Manufacturing","TELEPHONE & TELEGRAPH APPARATUS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"5","STX","0.29150107152794547","0.008946322067594433","726.9299926757812","0.23996591567993164","0.6930547952651978","0.5448505878448486","Manufacturing","COMPUTER STORAGE DEVICES","6","5","0","STRONG-POS","2026-04-29T22:19:18Z","1.0699305555555556","22.0","Stock Market Today, April 29: Mixed Reactions as Big Tech Earnings Beat Expectations","Jumped on strong earnings announcement.","Fed rate decision;Big Tech earnings;AI spending;megacap earnings;market movers","False","False","False"
"6","SMCI","0.28902482262859225","0.010934393638170975","27.09000015258789","-0.06843191385269165","0.16666674613952637","0.6962698101997375","Manufacturing","ELECTRONIC COMPUTERS","5","0","5","STRONG-NEG","2026-05-01T16:00:00Z","-0.6666666666666666","16.0","Bronstein, Gewirtz & Grossman LLC Urges Super Micro Computer, Inc. Investors to Act: Class Action Filed Alleging Investor Harm","The company is accused of failing to disclose material information regarding illegal export control violations and sales to Chinese entities, along with inadequate compliance controls. These allegations constitute securities fraud and represent significant corporate misconduct th","class action lawsuit;securities fraud;export control violations;investor harm;China sales","False","False","True"
"7","WDC","0.28520778646364503","0.012922465208747515","431.5199890136719","0.06811881065368652","0.4629284143447876","0.43280839920043945","Manufacturing","COMPUTER STORAGE DEVICES","5","3","0","STRONG-POS","2026-04-30T20:28:15Z","0.14704861111111112","20.0","Western Digital Stock Slips Even As Q3 Beats Expectations","While the company delivered strong Q3 earnings beats on both EPS and revenue, with positive forward guidance and CEO commentary on AI-driven demand, the stock declined 6.1% in after-hours trading. This disconnect between fundamental performance and stock price movement suggests m","earnings beat;revenue growth;AI demand;HDD storage;guidance","False","False","False"
"8","MPWR","0.2789999589860369","0.014910536779324055","1583.47998046875","-0.029766082763671875","0.4157301187515259","0.548581063747406","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","0","0","0","NO-NEWS","","","","","","","False","False","False"
"9","APA","0.2671071010375155","0.016898608349900597","40.130001068115234","0.06360995769500732","-0.0454329252243042","0.5788596868515015","Mining","CRUDE PETROLEUM & NATURAL GAS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"10","AMD","0.26138309427746326","0.018886679920477135","360.5400085449219","0.036600470542907715","0.6576552391052246","0.6377692222595215","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","18","8","3","POS","2026-05-01T13:06:55Z","-0.5464699074074074","13.0","AMD Delivers 5x Stock Returns, Steamrolls Nvidia","AMD surged 74.3% in April with strong year-over-year growth of 266.8% over the past year. The company is being repriced as a higher-beta alternative in AI hardware with upcoming catalysts including Q1 earnings and an AI event in July.","AMD;Nvidia;AI chips;semiconductor;stock performance","False","False","False"
"11","TER","0.24836363532449604","0.020874751491053677","345.4200134277344","-0.1737944483757019","0.11566174030303955","1.0148673057556152","Manufacturing","INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS","5","2","3","NEG","2026-04-30T18:12:58Z","0.24099537037037036","18.0","Here's Why This AI-Related Company's Stock Soared Today","Stock surged 13.6% on positive analyst sentiment despite disappointing Q2 guidance. Strong AI revenue growth (70% of total, 87% YoY), with Goldman Sachs raising price target to $350 and JPMorgan upgrading to overweight. Market treated the dip as a buying opportunity.","AI chips;automated test equipment;revenue growth;guidance;analyst upgrades","False","False","False"
"12","SNDK","0.2452962758391873","0.02286282306163022","1187.0","0.1991109848022461","0.6918712854385376","0.8776929378509521","Manufacturing","COMPUTER STORAGE DEVICES","6","4","0","STRONG-POS","2026-04-30T20:20:57Z","0.15211805555555555","20.0","SanDisk Stock Drops Despite Blowout Q3 Report: What To Know","While SanDisk delivered exceptional earnings and revenue beats (62% and 27% respectively) with strong datacenter growth and raised Q4 guidance, the stock declined 7.53% in after-hours trading. This disconnect between strong fundamentals and negative price action suggests the mark","SanDisk;Q3 earnings;datacenter;revenue beat;stock decline","False","False","False"
"13","GLW","0.23919572893149044","0.02485089463220676","158.25999450683594","-0.10023313760757446","0.06990265846252441","0.6841280460357666","Manufacturing","DRAWING & INSULATING OF NONFERROUS WIRE","2","2","0","POS","2026-04-29T04:30:00Z","1.8125","4.0","[Latest] Global Cell Culture Media Bags Market Size/Share Worth USD 2.28 Billion by 2035 at a 5.8% CAGR: Healthcare Foresights (Analysis, Outlook, Leaders, Repo","Key market participant in cell culture media bags sector, positioned to capitalize on growing demand from pharmaceutical, biotech, and research institutions.","cell culture media bags;bioprocessing;single-use technology;biopharmaceutical;vaccine production","False","False","False"
"14","NCLH","0.23871945546733736","0.0268389662027833","18.809999465942383","0.016207456588745117","-0.0063391923904418945","0.5388637781143188","Transportation_Utilities","WATER TRANSPORTATION","1","0","0","NEUTRAL","2026-04-28T11:20:00Z","2.5277777777777777","11.0","Down 25% in 1 Month, Is Carnival Stock a Bargain or a Trap? Here's the Honest Answer.","Mentioned only as a valuation comparison point, trading at a higher P/E ratio than Carnival. No specific company performance or outlook information provided.","cruise line;fuel prices;valuation;earnings;occupancy rates","False","False","False"
"15","LITE","0.23730087548637158","0.02882703777335984","949.9299926757812","0.07745790481567383","0.1488124132156372","0.8468170762062073","Manufacturing","COMMUNICATIONS EQUIPMENT, NEC","0","0","0","NO-NEWS","","","","","","","False","False","False"
"16","DLTR","0.23693853796196276","0.030815109343936383","94.66999816894531","-0.08751809597015381","-0.1269826889038086","0.43916964530944824","Retail","RETAIL-VARIETY STORES","0","0","0","NO-NEWS","","","","","","","False","False","False"
"17","IP","0.2337160663213501","0.032803180914512925","31.760000228881836","-0.027258872985839844","-0.0870940089225769","0.5768312811851501","Manufacturing","PAPER MILLS","1","0","1","NEG","2026-04-30T17:09:08Z","0.28532407407407406","17.0","Stock Market Today: Dow Jones Roars As Industrials Rescue Wall Street From Meta-Led Tech Slide","Dropped 8% after quarterly report that underwhelmed on margins","Dow Jones;industrials;AI capital expenditure;mega-cap tech;data-center infrastructure","False","False","False"
"18","CHTR","0.23144132930944492","0.03479125248508946","171.74000549316406","-0.04657745361328125","-0.2186177372932434","1.0731053352355957","Transportation_Utilities","CABLE & OTHER PAY TELEVISION SERVICES","1","0","1","NEG","2026-04-27T10:25:43Z","3.565474537037037","10.0","What's Going On With Charter Communications Stock Monday?","Mixed earnings results with EPS missing analyst expectations ($9.17 vs $9.98), significant internet customer losses (120,000 in quarter), and 1% year-over-year revenue decline. While some positives exist (Spectrum Mobile growth, connectivity revenue growth), the stock plunged 25.","Charter Communications;Q1 2026 earnings;internet customer losses;Spectrum Mobile;Cox transaction","False","False","False"
"19","EPAM","0.23055175202422176","0.036779324055666","112.33000183105469","-0.05589175224304199","-0.18595552444458008","0.3715648353099823","Services","SERVICES-COMPUTER PROGRAMMING SERVICES","0","0","0","NO-NEWS","","","","","","","False","False","False"
"20","PSKY","0.22748879528926813","0.03876739562624255","11.09000015258789","0.010938882827758789","0.16491591930389404","0.6097977757453918","Transportation_Utilities","TELEVISION BROADCASTING STATIONS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"21","BF.B","0.21701452757057413","0.040755467196819085","25.549999237060547","-0.0974920392036438","-0.04485982656478882","0.6452463269233704","Manufacturing","BEVERAGES","1","0","1","NEG","2026-04-29T09:46:17Z","1.5928587962962963","9.0","Jack Daniel's Maker Brown-Forman Stock Drops Nearly 6% In Pre-Market: What's Going On?","Stock dropped 5.88% in premarket trading following the collapse of merger negotiations with Pernod Ricard, eliminating a potential strategic partnership opportunity.","merger talks;spirits industry;stock decline;deal termination;acquisition","False","False","False"
"22","CVNA","0.21336867379166571","0.042743538767395624","382.6000061035156","-0.06473058462142944","0.2188206911087036","0.536374032497406","Retail","RETAIL-AUTO DEALERS & GASOLINE STATIONS","1","1","0","POS","2026-04-29T17:47:04Z","1.2589814814814815","17.0","What's Going On With Carvana Stock Wednesday?","Despite a minor 0.84% daily decline, the article presents multiple positive factors: analyst Buy rating with $467.53 price target, 65% gain over 12 months, bullish technical indicators (MACD above signal line, stock above 20-day and 100-day SMAs), and strategic expansion creating","Carvana;CVNA;earnings report;ADESA Syracuse;expansion","False","False","False"
"23","ARE","0.2088622297605788","0.04473161033797217","41.38999938964844","-0.1267932653427124","-0.042563021183013916","0.5671659111976624","Finance_Insurance_RealEstate","REAL ESTATE INVESTMENT TRUSTS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"24","MU","0.2063865693802098","0.04671968190854871","542.2100219726562","0.09158086776733398","0.48047733306884766","0.5834528803825378","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","17","12","1","POS","2026-05-01T12:10:00Z","-0.5069444444444444","12.0","Prediction: This Monster Artificial Intelligence (AI) Chip Stock Will Be the Next to Reach a $1 Trillion Valuation","Strong fundamental growth catalysts with nearly 400% expected earnings growth over two years, essential role in AI infrastructure, premium pricing power for HBM products, operational efficiency improvements, and realistic path to $1 trillion valuation even without valuation expan","AI chips;memory chips;trillion-dollar valuation;HBM (high bandwidth memory);data centers","False","False","False"
"25","BLDR","0.20598675483488257","0.048707753479125246","75.72000122070312","-0.1590404510498047","-0.04297274351119995","0.5216119885444641","Retail","RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"26","NOW","0.20373741361470846","0.05069582504970179","91.16000366210938","0.010979294776916504","-0.10627448558807373","0.9223835468292236","Services","SERVICES-PREPACKAGED SOFTWARE","1","1","0","POS","2026-04-30T08:00:00Z","0.6666666666666666","8.0","Atos reconnu comme leader dans le rapport Provider Lens® 2026 d'ISG pour les partenaires de l'écosystème ServiceNow","ServiceNow is highlighted as a strategic platform for digital transformation with growing ecosystem partner capabilities. The recognition of Atos's innovations on ServiceNow (Now Assist, AI workflows) indicates strong platform adoption and value creation potential.","ServiceNow;digital transformation;AI innovation;cloud services;managed services","False","False","False"
"27","NXPI","0.20209506603058922","0.05268389662027833","295.239990234375","0.20980167388916016","0.5175532102584839","0.9439930319786072","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","0","0","0","NO-NEWS","","","","","","","False","False","False"
"28","FIX","0.18821768182077733","0.05467196819085487","1867.02001953125","0.08162820339202881","0.317409873008728","0.4525994062423706","Construction","ELECTRICAL WORK","0","0","0","NO-NEWS","","","","","","","False","False","False"
"29","CSGP","0.18595975907834228","0.05666003976143141","34.720001220703125","-0.047200798988342285","-0.1309136152267456","0.4127572774887085","Services","SERVICES-BUSINESS SERVICES, NEC","0","0","0","NO-NEWS","","","","","","","False","False","False"
"30","ARES","0.18422262486520796","0.05864811133200795","119.0","0.032717108726501465","0.16176903247833252","0.5206992626190186","Finance_Insurance_RealEstate","INVESTMENT ADVICE","1","0","1","NEG","2026-04-29T10:50:05Z","1.5485532407407407","10.0","Hedge Fund Billionaire Ken Griffin Warns Wealthy Investors May Not Grasp Private Credit Risks— 'The Real Issue Here Is...'","Included among firms aggressively expanding into semi-liquid funds targeting wealthy investors amid growing redemption pressures.","private credit;liquidity risk;redemption pressure;wealth investors;hedge funds","False","False","False"
"31","TTD","0.1736075022213218","0.06063618290258449","24.239999771118164","0.01126408576965332","0.0993196964263916","0.639774739742279","Services","SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","0","0","0","NO-NEWS","","","","","","","False","False","False"
"32","DELL","0.17050388491443702","0.06262425447316103","210.1699981689453","-0.027395963668823242","0.20531058311462402","0.5546847581863403","Manufacturing","ELECTRONIC COMPUTERS","1","0","0","NEUTRAL","2026-04-29T13:12:40Z","1.449537037037037","13.0","What's Going On With Nvidia Stock Today?","Currently evaluating Nemotron capabilities, but no adoption or partnership details provided","Nemotron 3 Nano Omni;multimodal AI model;open source;physical artificial intelligence;strategic partnerships","False","False","False"
"33","URI","0.17044113821564352","0.06461232604373758","949.22998046875","-0.02584129571914673","0.29660284519195557","0.840192973613739","Services","SERVICES-EQUIPMENT RENTAL & LEASING, NEC","0","0","0","NO-NEWS","","","","","","","False","False","False"
