"rank","instrument","score","pct_rank","close","ret_5d","ret_20d","ann_vol_20d","sector","sic_description","news_count_5d","news_pos_count_5d","news_neg_count_5d","news_sentiment","most_recent_published_utc","pub_lag_days","pub_hour_utc","most_recent_title","most_recent_reasoning","most_recent_keywords","rule_avoid_high_precision","rule_buy_high_precision","rule_buy_legal_veto"
"1","COHR","0.3379882409111469","0.0009940357852882703","329.8900146484375","0.0260007381439209","0.30278027057647705","0.6496443748474121","Manufacturing","OPTICAL INSTRUMENTS & LENSES","2","1","0","POS","2026-05-04T14:45:07Z","-0.6146643518518519","14.0","Earnings Volatility Watch: 7 AI-Linked Stocks Are Set For Double-Digit Moves This Week","Up 78.52% YTD with 34% gain in April. Optical-transceiver business is critical AI data-center infrastructure play with strong YoY growth projections (53.19% EPS, 18.86% revenue).","earnings volatility;AI infrastructure;implied moves;semiconductor IP;optical networking","False","False","False"
"2","AMD","0.3379882409111469","0.002982107355864811","341.5400085449219","0.02064967155456543","0.5511854887008667","0.6966902613639832","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","18","10","2","POS","2026-05-04T18:30:00Z","-0.7708333333333334","18.0","Broadcom Valuation Tests Limits as AI Revenue Targets Stretch Expectations","Mentioned alongside NVIDIA and Intel as semiconductor competitor. Declined 4% on OpenAI news but no specific company developments discussed in article.","AI infrastructure;semiconductor;custom accelerators;XPU chips;hyperscaler demand","False","False","False"
"3","SMCI","0.33356123255115644","0.004970178926441352","27.920000076293945","0.002513408660888672","0.26621317863464355","0.6632943749427795","Manufacturing","ELECTRONIC COMPUTERS","6","0","6","STRONG-NEG","2026-05-04T17:44:01Z","-0.738900462962963","17.0","Nvidia's Forbidden Fruit: Chinese Buyers Shell Out $1M Per B300 Server","Co-founder Yih-Shyan Liaw was charged by U.S. prosecutors in March for alleged chip smuggling, creating legal and reputational risks. This crackdown may impact Supermicro's ability to serve as an Nvidia partner in gray market channels.","AI chips;export restrictions;China market;gray market;GPU shortage","False","False","True"
"4","WDC","0.32477560625881086","0.006958250497017893","442.3599853515625","0.10388529300689697","0.45441389083862305","0.43117445707321167","Manufacturing","COMPUTER STORAGE DEVICES","3","2","0","POS","2026-04-30T20:28:15Z","3.147048611111111","20.0","Western Digital Stock Slips Even As Q3 Beats Expectations","While the company delivered strong Q3 earnings beats on both EPS and revenue, with positive forward guidance and CEO commentary on AI-driven demand, the stock declined 6.1% in after-hours trading. This disconnect between fundamental performance and stock price movement suggests m","earnings beat;revenue growth;AI demand;HDD storage;guidance","False","False","False"
"5","NCLH","0.320858129948685","0.008946322067594433","17.200000762939453","-0.05442547798156738","-0.11202889680862427","0.6119299530982971","Transportation_Utilities","WATER TRANSPORTATION","3","0","2","STRONG-NEG","2026-05-04T19:43:00Z","-0.8215277777777777","19.0","Norwegian Cruise Line Holdings Ltd. Investigated for Securities Fraud Violations by Block & Leviton: NCLH Investors Should Contact the Firm to Possibly Recover ","The company faces a securities fraud investigation, experienced a 9% stock decline, reported disappointing Q1 results, and cut full year EPS guidance, indicating significant operational and financial challenges.","securities fraud;class action lawsuit;earnings miss;guidance cut;investor losses","False","False","True"
"6","INTC","0.3204817204977839","0.010934393638170975","95.77999877929688","0.12695610523223877","0.8861756324768066","1.0249375104904175","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","21","13","3","POS","2026-05-04T13:20:00Z","-0.5555555555555556","13.0","Why the iShares Semiconductor ETF Jumped 40% in April","Stock more than doubled on strong earnings report showing CPU demand surge from agentic AI applications and improved market conditions.","semiconductor ETF;AI demand;chip shortage;cloud infrastructure;earnings reports","False","False","False"
"7","CIEN","0.32027353474299985","0.012922465208747515","538.510009765625","0.06353437900543213","0.24006354808807373","0.6620346903800964","Manufacturing","TELEPHONE & TELEGRAPH APPARATUS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"8","ON","0.3196251457694431","0.014910536779324055","102.04000091552734","0.040799617767333984","0.6071822643280029","0.5822209715843201","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","3","3","0","STRONG-POS","2026-05-04T12:32:57Z","-0.5228819444444445","12.0","Stock Market Today: Dow, S&P 500 Futures Trip Amid Trump's 'Project Freedom' To Escort Stranded Vessels At Hormuz— eBay, Nebius In Focus (UPDATED)","Stock advanced 1.15% ahead of earnings announcement, indicating positive market sentiment before the earnings report.","stock market;futures;S&P 500;Dow Jones;Project Freedom","False","False","False"
"9","IP","0.29544234327905333","0.016898608349900597","31.200000762939453","-0.04441040754318237","-0.10678499937057495","0.5780150294303894","Manufacturing","PAPER MILLS","1","0","1","NEG","2026-04-30T17:09:08Z","3.285324074074074","17.0","Stock Market Today: Dow Jones Roars As Industrials Rescue Wall Street From Meta-Led Tech Slide","Dropped 8% after quarterly report that underwhelmed on margins","Dow Jones;industrials;AI capital expenditure;mega-cap tech;data-center infrastructure","False","False","False"
"10","CVNA","0.2826638616572811","0.018886679920477135","376.54998779296875","-0.07420164346694946","0.1884171962738037","0.5445731282234192","Retail","RETAIL-AUTO DEALERS & GASOLINE STATIONS","1","1","0","POS","2026-04-29T17:47:04Z","4.258981481481482","17.0","What's Going On With Carvana Stock Wednesday?","Despite a minor 0.84% daily decline, the article presents multiple positive factors: analyst Buy rating with $467.53 price target, 65% gain over 12 months, bullish technical indicators (MACD above signal line, stock above 20-day and 100-day SMAs), and strategic expansion creating","Carvana;CVNA;earnings report;ADESA Syracuse;expansion","False","False","False"
"11","MPWR","0.2758062483279204","0.020874751491053677","1573.300048828125","-0.008988499641418457","0.3332711458206177","0.5367536544799805","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","0","0","0","NO-NEWS","","","","","","","False","False","False"
