"rank","instrument","score","pct_rank","close","ret_5d","ret_20d","ann_vol_20d","sector","sic_description","news_count_5d","news_pos_count_5d","news_neg_count_5d","news_sentiment","most_recent_published_utc","pub_lag_days","pub_hour_utc","most_recent_title","most_recent_reasoning","most_recent_keywords","rule_avoid_high_precision","rule_buy_high_precision","rule_buy_legal_veto"
"1","COHR","0.3289616898756885","0.00099601593625498","335.260009765625","0.017481088638305664","0.09027647972106934","0.5918566584587097","Manufacturing","OPTICAL INSTRUMENTS & LENSES","2","1","0","POS","2026-05-05T15:34:47Z","2.3508449074074074","15.0","These 3 Telecom Stocks Rallied Over 1,000% In A Year: Nvidia Did 75%","Mentioned as part of the optical transceiver cohort but not analyzed for investment merit in the article.","optical components;datacenter buildout;AI infrastructure;hyperscaler capex;analyst ratings","False","False","False"
"2","STX","0.32428193201563543","0.00298804780876494","782.6400146484375","0.0766373872756958","0.5555423498153687","0.5471848845481873","Manufacturing","COMPUTER STORAGE DEVICES","3","2","0","POS","2026-05-06T18:11:00Z","1.242361111111111","18.0","Super Micro Computer Ignites AI Rally With Strong Sales and Earnings Guidance","Memory-related stock experiencing strength during the AI rally, indicating positive sentiment in the storage and semiconductor sector.","AI rally;Super Micro Computer;earnings guidance;sales growth;operating margins","False","False","False"
"3","CIEN","0.32195870894316464","0.0049800796812749","548.1099853515625","0.023949623107910156","0.10501587390899658","0.64329993724823","Manufacturing","TELEPHONE & TELEGRAPH APPARATUS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"4","CNC","0.32186927555625977","0.0069721115537848604","55.959999084472656","0.049118876457214355","0.5002681016921997","0.6192110776901245","Finance_Insurance_RealEstate","HOSPITAL & MEDICAL SERVICE PLANS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"5","SMCI","0.32176620933417666","0.008964143426294821","35.369998931884766","0.3056478500366211","0.40023744106292725","1.058095097541809","Manufacturing","ELECTRONIC COMPUTERS","14","6","6","NEUTRAL","2026-05-07T17:54:00Z","0.25416666666666665","17.0","DEADLINE ALERT for ATRA, COTY, SMCI, IBRX: Law Offices of Howard G. Smith Reminds Investors of Opportunity to Lead Securities Fraud Class Actions","Alleged violations of U.S. export control laws through sales to Chinese companies and material weaknesses in compliance controls.","securities fraud;class action lawsuit;false statements;misleading disclosures;investor losses","False","False","False"
"6","INTC","0.32159405169066646","0.010956175298804782","124.91999816894531","0.25396502017974854","1.0025649070739746","1.1309857368469238","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","32","19","4","POS","2026-05-08T18:20:00Z","-0.7638888888888888","18.0","Arm Just Made a Bold Prediction, And It Could Be a Huge Buy Signal","Arm's CEO predicts Arm will surpass Intel (and AMD) in CPU market share by end of decade, positioning Arm as a competitive threat to Intel's x86 platform dominance.","CPU market share;AGI CPU;supply chain constraints;data center;x86 competition","False","False","False"
"7","AMD","0.315004662413141","0.012948207171314742","455.19000244140625","0.26252281665802","0.8576151132583618","0.9789613485336304","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","42","28","3","POS","2026-05-08T18:20:00Z","-0.7638888888888888","18.0","Arm Just Made a Bold Prediction, And It Could Be a Huge Buy Signal","Arm's CEO predicts Arm will surpass AMD (and Intel) in CPU market share by end of decade, positioning Arm as a competitive threat to AMD's x86 platform dominance.","CPU market share;AGI CPU;supply chain constraints;data center;x86 competition","False","False","False"
"8","DELL","0.3008183986520194","0.014940239043824702","260.4599914550781","0.239282488822937","0.4649043083190918","0.7598803639411926","Manufacturing","ELECTRONIC COMPUTERS","3","3","0","STRONG-POS","2026-05-08T08:58:00Z","-0.3736111111111111","8.0","Data Protection as a Service (DPaaS) Research Report 2026 - Global Market Analysis, Competitive Landscape, Opportunities, and Forecasts, 2021-2025 & 2025-2031","Key market player in DPaaS sector positioned to benefit from enterprise demand for integrated data protection and disaster recovery solutions.","Data Protection as a Service;DPaaS;cloud security;ransomware;data privacy","False","False","False"
"9","MU","0.3008136913116059","0.01693227091633466","746.8099975585938","0.3773444890975952","0.7756247520446777","0.8189917206764221","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","21","17","1","POS","2026-05-08T18:42:56Z","-0.7798148148148148","18.0","SanDisk Did In Months What Nvidia Took 9 Years To Pull Off — And The Chart Looks Almost Unreal","Strong fundamentals with 157% YTD gain, 682% non-GAAP EPS growth, and accounts for 51% of S&P 500 EPS revisions. Trading at attractive 8.0x forward earnings despite multi-year contract visibility and 80%+ margin potential.","AI memory supercycle;NAND flash;DRAM;HBM;supply shortage","False","False","False"
"10","MCHP","0.2971270150002625","0.018924302788844622","99.08999633789062","0.05470991134643555","0.3847121000289917","0.5124272108078003","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","2","2","0","POS","2026-05-08T13:48:00Z","-0.575","13.0","Dow Jones Rises as US NFP Beats, Middle East Stays in Focus","Rising 3.9% pre-market after forecasting Q1 revenue above estimates on strong demand for industrial and automotive chips","non-farm payroll;US jobs report;Dow Jones;US-Iran tensions;Strait of Hormuz","False","False","False"
"11","BLDR","0.29541319703357577","0.02091633466135458","77.4000015258789","0.022186994552612305","-0.09261429309844971","0.5254114866256714","Retail","RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"12","NCLH","0.2912656816261771","0.022908366533864542","17.079999923706055","-0.09197235107421875","-0.1442885398864746","0.5658782124519348","Transportation_Utilities","WATER TRANSPORTATION","4","0","4","STRONG-NEG","2026-05-07T18:00:00Z","0.25","18.0","Norwegian Cruise Lines Holdings Ltd. Investigated by the Portnoy Law Firm","The company issued disappointing Q1 2026 financial results with lowered full year EPS guidance, resulting in a sharp 29.32% stock price decline. Additionally, the company is now subject to a securities fraud investigation and potential class action lawsuit, indicating serious con","securities fraud;class action lawsuit;earnings miss;EPS guidance reduction;stock price decline","False","False","True"
